SITE,AGENCY,CITY,STATE,UTM_N,UTM_E,LATITUDE_N,LONGITUDE_W,BASE_HT_M,TOWER_HT_M,ANT_HT_M,Name of NEXRAD Site,ID,Owner,"Antenna
Elevation"
MBX,DOD,BISMARCK,ND/(Minot AFB),5361610.0,361941.0,48.3925,-100.865,455.1,20.0,475.1,"Minot AFB, ND",KMBX,DOD,"1,590"
MHX,NWS,MOREHEAD CITY,NC/Newport,3849820.0,328326.0,34.776111,-76.876111,9.4,30.0,39.4,"Morehead City, NC",KMHX,NWS,145
MKX,NWS,MILWAUKEE,WI/Dousman,4758400.0,373550.0,42.967778,-88.550556,292.0,10.0,302.0,"Milwaukee, WI",KMKX,NWS,"1,022"
MLB,NWS,MELBOURNE,FL/Melbourne,3109810.0,533968.0,28.113333,-80.654167,10.7,20.0,30.7,"Melbourne, FL",KMLB,NWS,116
MOB,NWS,MOBILE,AL/Mobile,3394730.0,381250.0,30.679444,-88.239722,63.4,20.0,83.4,"Mobile, AL",KMOB,NWS,289
MPX,NWS,MINNEAPOLIS,MN/Chanhassen,4966320.0,455309.0,44.848889,-93.565556,288.3,30.0,318.3,"Minneapolis, MN",KMPX,NWS,"1,101"
MQT,NWS,MARQUETTE,MI/Marquette,5153210.0,457949.0,46.531111,-87.548333,430.1,30.0,460.1,"Marquette, MI",KMQT,NWS,"1,524"
MRX,NWS,KNOXVILLE/TRI-CITIES,TN/Morristown,4005320.0,283986.0,36.168611,-83.401667,407.5,20.0,427.5,"Knoxville/Morristown, TN",KMRX,NWS,"1,434"
MSX,NWS,MISSOULA,MT/Missoula County,5214060.0,273161.0,47.041111,-113.98611,2394.2,10.0,2404.2,"Missoula, MT",KMSX,NWS,"7,976"
MTX,NWS,SALT LAKE CITY,UT/Elder County,4568940.0,378723.0,41.262778,-112.44778,1969.0,30.0,1999.0,"Salt Lake City, UT",KMTX,NWS,"6,592"
MUX,NWS,SAN FRANCISCO,CA/Santa Clara County,4112670.0,597824.0,37.155278,-121.89833,1057.4,20.0,1077.4,"San Francisco, CA",KMUX,NWS,"3,549"
MVX,NWS,EASTERN NORTH DAKOTA,ND/Mayville,5265180.0,626040.0,47.527778,-97.325556,300.5,20.0,320.5,"Grand Forks, ND",KMVX,NWS,"1,083"
MXX,DOD,BIRMINGHAM,AL/(Maxwell AFB RDA),3600570.0,613650.0,32.536667,-85.789722,121.9,30.0,151.9,"Maxwell AFB, AL",KMXX,DOD,560
NKX,NWS,SAN DIEGO,CA/San Diego,3642300.0,496079.0,32.918889,-117.04194,291.1,20.0,311.1,"San Diego, CA",KNKX,NWS,"1,052"
